	English	Japanese	English Sentence	Japanese Example	listening score	speaking score
290	class, lesson	じゅぎょう	There's going to be a Japanese class today.	きょう は にほんご の <b>じゅぎょう</b> が あります	0	0
291	over there	あそこ	There's a bus stop over there.	<b>あそこ</b> に ばすてい が あります	0	0
292	help, assist	てつだう	Can I help you?	わたし が <b>てつだいましょう</b>	0	0
293	narrow, restricted	せまい	My room is small.	わたし の へや は <b>せまい</b> です	0	0
294	touch, feel	さわる	Please don't touch the painting.	え に <b>さわらない で</b> ください	0	0
295	dislike	きらい	I hate cigarettes.	わたし は たばこ が <b>きらい</b> です	0	0
296	take (a shower)	あびる	I take a shower in the morning.	わたし は あさ しゃわー を <b>あびます</b>	0	0
297	hair	かみのけ	Your hair's longer, isn't it?	<b>かみのけ</b> が のびた ね	0	0
298	tasty	おいしい	This cake is yummy.	この けーき は <b>おいしい</b> ね	0	0
299	arm	うで	He has big arms.	かれ の <b>うで</b> は ふとい	0	0
300	car, automobile@car	くるま	My younger brother bought a car.@There are many cars on this road.	おとうと が <b>くるま</b> を かった@この みち は <b>くるま</b> が おおい	0	0
301	I (young male)	ぼく	I'm a student.	<b>ぼく</b> は がくせい です	0	0
302	no good	だめ	He's a loser.	かれ は <b>だめ</b> な おとこ だ	0	0
303	alright, OK	だいじょうぶ	Are you OK?	<b>だいじょうぶ</b> です か	0	0
304	beautiful	きれい	She's very beautiful.	かのじょ は とても <b>きれい</b> だ	0	0
305	happy, glad	うれしい	I was glad to meet him.	かれ に あえて <b>うれしかった</b>	0	0
306	sake, purpose	ため	This is a site for doctors.	これ は いしゃ の <b>ため</b> の さいと です	0	0
307	more, further	より	I'll work that much harder from now.	これから <b>より</b> いっそう どりょく します	0	0
308	other	ほか	There's no other way.	<b>ほか</b> に ほうほう が ありません	0	0
309	buddhist temple	てら	There's an old temple there.	あそこ に ふるい お<b>てら</b> が あります	0	0
310	dollar	ドル	These clothes cost 300 dollars.	この ふく は さんびゃく<b>どる</b> しました	0	0
311	system	システム	All systems have stopped.	すべて の <b>しすてむ</b> が ていし した	0	0
312	full, plentiful	じゅうぶん	We still have plenty of money.	おかね は まだ <b>じゅうぶん</b> あります	0	0
313	divide into parts, sort, share	わける	We shared the sweets with everyone.	おかし を みんな で <b>わけました</b>	0	0
314	computer	コンピューター	I bought a new computer.	あたらしい <b>こんぴゅーたー</b> を かった	0	0
315	first	まず	When you get home, wash your hands first.	かえったら <b>まず</b> て を あらいましょう 。	0	0
316	last month	せんげつ	My friend's wedding was held last month.	<b>せんげつ</b> ともだち の けっこんしき が あった	0	0
317	last week	せんしゅう	I went to the beach last week.	<b>せんしゅう</b> は うみ に いった	0	0
318	until now, so far	いままで	Where were you until now?	<b>いままで</b> どこ に いた の です か	0	0
319	next month	らいげつ	I'll be a college student beginning next month.	<b>らいげつ</b> から だいがくせい に なります	0	0
320	year, age@cities, urban community	とし	A new year has started.@Tokyo is the largest city in Japan.	あたらしい <b>とし</b> が はじまりました@とうきょう は にほんいち おおき な <b>とし</b> です	0	0
321	next week	らいしゅう	Let's continue next week.	つづき は <b>らいしゅう</b> やりましょう	0	0
322	robot	ロボット	He is doing research on robots.	かれ は <b>ろぼっと</b> の けんきゅう を しています 。	0	0
323	do, carry out	おこなう	That company is going to run a campaign next month.	その かいしゃ は らいげつ きゃんぺーん を <b>おこなう</b>	0	0
324	return, going home	かえり	I had a beer on the way home from work.	しごと の <b>かえり</b> に びーる を のんだ	0	0
325	almost, hardly	ほとんど	There's hardly any money.	おかね が <b>ほとんど</b> ありません	0	0
326	size, dimensions	おおきさ	I'd like an envelope of this size.	この <b>おおきさ</b> の ふうとう が ほしい の です が	0	0
327	very, greatly	だいぶ	You've gotten pretty good at the piano.	<b>だいぶ</b> ぴあの が うまく なりました	0	0
328	boy	しょうねん	The boys are playing soccer.	<b>しょうねん</b>たち が さっかー を して いる	0	0
329	personal computer	パソコン	He has two personal computers.	かれ は <b>ぱそこん</b> を にだい もって います	0	0
330	at all	すこしも	It's not your fault at all.	あなた は <b>すこしも</b> わるく ない	0	0
331	much, largely	おおく	A lot of people travel abroad every year.	まいとし <b>おおく</b> の ひと が かいがい へ りょこう する	0	0
332	older, senior	としうえ	He's older than me.	かれ は わたし より <b>としうえ</b> です	0	0
333	flower@nose	はな	Beautiful flowers have bloomed.@My nose itches.	きれい な <b>はな</b> が さきました@<b>はな</b> が かゆい です	0	0
334	going up, ascent	のぼり	This is the train going downtown.	これ は <b>のぼり</b> でんしゃ です	0	0
335	lower, turn down	さげる	Please turn the volume down a little.	すこし おんりょう を <b>さげて</b> ください	0	0
336	program	プログラム	I got my program at the reception.	うけつけ で <b>ぷろぐらむ</b> を うけとった	0	0
337	come down, hang down, fall	さがる	His fever finally went down.	やっと ねつ が <b>さがった</b>	0	0
338	downhill, going down	くだり	The train out of the city leaves soon.	もうすぐ <b>くだり</b> の でんしゃ が はっしゃ します	0	0
339	younger, junior	としした	He's younger than his wife.	かれ は おくさん より <b>としした</b> です	0	0
340	go down, go down or away from a central place	くだる	A small ship is going down the river.	ちいさ な ふね が かわ を <b>くだって います</b>	0	0
341	one way	いっぽう	This is a one-way street.	ここ は <b>いっぽう</b> つうこう です	0	0
342	as is, still (in the current state)	まま	The light is still on.	でんき が ついた <b>まま</b> です よ	0	0
343	two persons	ふたり	Today I'm having dinner with my wife, just the two of us.	きょう は つま と <b>ふたり</b> で しょくじ を します	0	0
344	gentle, quiet, subdued	おとなしい	My girlfriend's very quiet.	わたし の かのじょ は とても <b>おとなしい</b> です	0	0
345	people	ひとびと	People in that village are very kind.	あの むら の <b>ひとびと</b> は とても しんせつ です	0	0
346	by oneself	ひとりで	I saw a movie by myself today.	きょう は <b>ひとりで</b> えいが を みます	0	0
347	television	テレビ	I don't watch much TV.	わたし は <b>てれび</b> を あまり みません	0	0
348	foreigner, alien	がいじん	There are few foreigners in this town.	この まち に は <b>がいじん</b> が すくない	0	0
349	outside, open air	そと	It's hot outside.	<b>そと</b> は あついよ	0	0
350	come to a stop, cease@stay overnight	とまる	The train stopped this morning due to an accident.@I'm staying at this hotel today.	けさ じこ で でんしゃ が <b>とまりました</b>@きょう は この ほてる に <b>とまります</b>	0	0
351	holiday, day off	きゅうじつ	I often watch television at home on my days off.	<b>きゅうじつ</b> は いえ で よく てれび を みます	0	0
352	rest, holiday, absence	やすみ	Thursday is my day off work.	もくようび は しごと が <b>やすみ</b> です	0	0
353	software, programme	ソフト	You can study Japanese with this software.	この <b>そふと</b> で にほんご を べんきょう する こと が できます	0	0
354	strength, power	ちから	All sumo wrestlers are strong.	おすもうさん は みんな <b>ちから</b>もち だ	0	0
355	exit, exit ramp	でぐち	The exit's over there.	<b>でぐち</b> は あそこ です	0	0
356	going@snow, snowfall	ゆき	I got on the Tokyo-bound train.@It snowed at Christmas.	とうきょう<b>ゆき</b> の れっしゃ に のった@くりすます に <b>ゆき</b> が ふりました	0	0
357	entrance	いりぐち	The entrance is over there.	<b>いりぐち</b> は むこう です	0	0
358	right hand	みぎて	I write right-handed.	わたし は <b>みぎて</b> で じ を かきます	0	0
359	left hand	ひだりて	She writes left-handed.	かのじょ は <b>ひだりて</b> で じ を かく	0	0
360	not good at	へた	I'm a terrible singer.	わたし は うた が <b>へた</b> だ	0	0
361	these	これら	We will discuss these issues today.	きょう は <b>これら</b> の もんだい に ついて はなしあいます	0	0
362	suffice, serve, be satisfied	たりる	I couldn't buy it because I didn't have enough money.	おかね が <b>たりなくて</b> かえなかった	0	0
363	add, supplement	たす	My mother added water to the miso soup.	はは は みそしる に みず を <b>たした</b>	0	0
364	mountain	やま	The mountain air is clean.	<b>やま</b> の くうき は きれい だ	0	0
365	eventually, sometime	いずれ	Let's meet again sometime.	<b>いずれ</b> また おあい しましょう	0	0
366	good	いい	She's a good friend.	かのじょ は <b>いい</b> ともだち です	0	0
367	good, suitable, preferable	よい	He only emphasized the strong points.	かれ は <b>よい</b> ところ だけ を きょうちょう した	0	0
368	karate, empty hand	からて	He's learning karate.	かれ は <b>からて</b> を ならって います	0	0
369	overseas, abroad	かいがい	He's lived abroad for a long time.	かれ は <b>かいがい</b> で の せいかつ が ながい です	0	0
370	sea, ocean	うみ	The sea is vast and wide.	<b>うみ</b> は ひろく て おおきい	0	0
371	every day	まいにち	We go for a walk every day.	わたしたち は <b>まいにち</b> さんぽ を します	0	0
372	every year	まいとし	I travel abroad every year.	わたし は <b>まいとし</b> かいがい りょこう に いきます	0	0
373	every year	まいねん	My salary goes up every year.	<b>まいねん</b> きゅうりょう が あがる	0	0
374	still, in addition	なお	Moreover, it will be canceled in the event of rain.	<b>なお</b> あめ の ばあい は ちゅうし です	0	0
375	every week	まいしゅう	I call my mother every week.	わたし は <b>まいしゅう</b> はは に でんわ を します	0	0
376	every month	まいつき	I save money every month.	わたし は <b>まいつき</b> ちょきん を して います	0	0
